id,num_rels
812,0
813,0
814,1
815,0
816,0
817,1
818,0
819,0
820,2
821,0
822,0
823,2
824,0
825,0
826,1
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,1
837,0
838,0
839,0
840,0
841,0
842,1
843,1
844,0
845,1
846,0
847,0
848,1
849,0
850,1
851,0
852,2
853,0
854,3
855,0
856,0
857,1
858,0
859,0
860,0
861,1
862,1
863,0
864,0
865,0
866,0
867,0
868,1
869,0
870,0
871,0
872,0
873,0
874,0
875,1
876,0
877,1
878,1
879,0
880,1
881,2
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,1
894,0
895,0
896,2
897,0
898,0
899,1
900,3
901,0
902,0
903,1
904,1
905,0
906,0
907,1
908,0
909,0
910,0
911,1
912,1
913,0
914,0
915,1
916,0
917,1
918,0
919,1
920,0
921,0
922,0
923,0
924,0
925,1
926,0
927,0
928,2
929,0
930,0
931,0
932,0
933,1
934,0
935,1
936,3
937,4
938,0
939,2
940,0
941,0
942,0
943,3
944,0
945,0
946,0
947,0
948,1
949,0
950,2
951,1
952,4
953,0
954,0
955,2
956,2
957,0
958,0
959,0
960,1
961,0
962,0
963,0
964,0
965,1
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,1
975,2
976,3
977,0
978,0
979,0
980,1
981,0
982,0
983,0
984,0
985,0
986,1
987,1
988,0
989,2
990,0
991,0
992,0
993,1
994,2
995,0
996,0
997,0
998,0
999,1
1000,0
1001,2
1002,0
1003,0
1004,0
1005,0
1006,1
1007,0
1008,0
1009,0
1010,0
1011,0
1012,1
1013,1
1014,1
1015,1
1016,2
1017,0
1018,0
1019,0
1020,0
1021,1
1022,1
1023,1
1024,0
1025,0
1026,1
1027,0
1028,1
1029,0
1030,0
1031,0
1032,4
1033,0
1034,4
1035,0
1036,0
1037,0
1038,1
1039,0
1040,0
1041,6
1042,0
1043,0
1044,1
1045,0
1046,1
1047,0
1048,0
1049,0
1050,0
1051,1
1052,0
1053,3
1054,0
1055,1
1056,0
1057,1
1058,2
1059,0
1060,1
1061,1
1062,1
1063,0
1064,0
1065,1
1066,0
1067,1
1068,1
1069,0
1070,0
1071,0
1072,0
1073,0
1074,1
1075,0
1076,0
1077,1
1078,0
1079,0
1080,0
1081,0
1082,3
1083,0
1084,1
1085,0
1086,0
1087,3
1088,0
1089,1
1090,1
1091,0
1092,1
1093,0
1094,3
1095,0
1096,0
1097,3
1098,0
1099,1
1100,0
1101,0
1102,0
1103,0
1104,0
1105,2
1106,0
1107,1
1108,0
1109,0
1110,0
1111,1
1112,0
1113,0
1114,0
1115,0
1116,0
1117,2
1118,0
1119,0
1120,2
1121,1
1122,0
1123,0
1124,0
1125,0
1126,1
1127,0
1128,1
1129,0
1130,0
1131,2
1132,1
1133,2
1134,0
1135,1
1136,2
1137,0
1138,0
1139,3
1140,0
1141,4
1142,0
1143,0
1144,0
1145,0
1146,0
1147,1
1148,3
1149,3
1150,1
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,1
1163,1
1164,0
1165,0
1166,1
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,1
1179,0
1180,0
1181,2
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,1
1193,0
1194,1
1195,0
1196,1
1197,0
1198,0
1199,0
1200,1
1201,0
1202,0
1203,0
1204,2
1205,2
1206,0
1207,0
1208,1
1209,0
1210,1
1211,0
1212,1
1213,1
1214,2
1215,1
1216,0
1217,0
1218,3
1219,2
1220,1
1221,1
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,2
1230,0
1231,0
1232,0
1233,0
1234,1
1235,0
1236,0
1237,0
1238,2
1239,0
1240,0
1241,0
1242,1
1243,0
1244,0
1245,0
1246,0
1247,0
1248,1
1249,0
1250,2
1251,4
1252,4
1253,4
1254,8
1255,4
1256,4
1257,2
1258,2
1259,1
1260,0
1261,0
1262,0
1263,2
1264,5
1265,1
1266,0
1267,0
1268,0
1269,2
1270,1
1271,0
1272,2
1273,2
1274,0
1275,0
1276,1
1277,3
1278,1
1279,1
1280,0
1281,0
1282,1
1283,0
1284,1
1285,0
1286,1
1287,2
1288,1
1289,0
1290,0
1291,2
1292,0
1293,2
1294,0
1295,0
1296,0
1297,0
1298,1
1299,2
1300,0
1301,0
1302,0
1303,1
1304,1
1305,0
1306,0
1307,1
1308,0
1309,0
1310,1
1311,0
1312,1
1313,0
1314,0
1315,0
1316,0
1317,0
1318,3
1319,1
1320,0
1321,0
1322,0
1323,1
1324,0
1325,0
1326,0
1327,0
1328,2
1329,0
1330,0
1331,0
1332,0
1333,0
1334,1
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,1
1342,0
1343,0
1344,2
1345,2
1346,0
1347,1
1348,1
1349,2
1350,2
1351,3
1352,2
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,1
1361,0
1362,3
1363,0
1364,0
1365,1
1366,1
1367,2
1368,0
1369,2
1370,2
1371,0
1372,1
1373,0
1374,0
1375,2
1376,0
1377,2
1378,0
1379,0
1380,0
1381,0
1382,1
1383,0
1384,1
1385,1
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,1
1394,1
1395,0
1396,0
1397,0
1398,0
1399,0
1400,2
1401,1
1402,0
1403,2
1404,0
1405,0
1406,0
1407,0
1408,1
1409,1
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,1
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,1
1429,2
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,3
1439,0
1440,0
1441,2
1442,0
1443,1
1444,0
1445,0
1446,1
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,2
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,4
1471,0
1472,1
1473,0
1474,0
1475,0
1476,1
1477,1
1478,1
1479,3
1480,0
1481,0
1482,1
1483,1
1484,0
1485,0
1486,0
1487,0
1488,2
1489,1
1490,0
1491,0
1492,0
1493,2
1494,1
1495,1
1496,1
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,2
1506,0
1507,1
1508,0
1509,0
1510,0
1511,1
1512,0
1513,2
1514,1
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,1
1525,0
1526,3
1527,1
1528,0
1529,0
1530,1
1531,1
1532,0
1533,0
1534,1
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,1
1542,0
1543,0
1544,0
1545,0
1546,0
1547,1
1548,0
1549,0
1550,2
1551,0
1552,0
1553,0
1554,1
1555,0
1556,0
1557,0
1558,0
1559,1
1560,0
1561,1
1562,1
1563,0
1564,0
1565,0
1566,0
1567,1
1568,0
1569,0
1570,1
1571,0
1572,3
1573,0
1574,1
1575,0
1576,0
1577,1
1578,0
1579,1
1580,1
1581,0
1582,0
1583,1
1584,0
1585,0
1586,1
1587,0
1588,0
1589,1
1590,0
1591,1
1592,1
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,1
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,1
1607,0
1608,0
1609,1
1610,0
1611,1
1612,1
1613,0
1614,0
1615,0
1616,0
1617,0
1618,1
1619,0
1620,0
1621,1
1622,0
1623,0
1624,0
1625,0
1626,0
1627,2
1628,0
1629,0
1630,1
1631,0
1632,0
1633,1
1634,3
1635,1
1636,0
1637,1
1638,0
1639,0
1640,0
1641,1
1642,0
1643,0
1644,0
1645,0
1646,3
1647,1
1648,0
1649,0
1650,0
1651,1
1652,1
1653,0
1654,3
1655,0
1656,1
1657,0
1658,1
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,1
1668,0
1669,2
1670,0
1671,0
1672,0
1673,0
1674,0
1675,2
1676,0
1677,2
1678,3
1679,4
1680,1
1681,0
1682,0
1683,3
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,2
1691,0
1692,0
1693,1
1694,1
1695,0
1696,3
1697,1
1698,2
1699,0
1700,3
1701,0
1702,1
1703,2
1704,0
1705,1
1706,0
1707,0
1708,0
1709,0
1710,3
1711,3
1712,0
1713,1
1714,0
1715,0
1716,0
1717,0
1718,0
1719,1
1720,2
1721,1
1722,0
1723,0
1724,0
1725,1
1726,0
1727,1
1728,2
1729,1
1730,0
1731,1
1732,1
1733,1
1734,1
1735,0
1736,0
1737,0
1738,0
1739,0
1740,1
1741,1
1742,0
1743,0
1744,0
1745,0
1746,0
1747,1
1748,0
1749,0
1750,0
1751,3
1752,0
1753,2
1754,0
1755,0
1756,1
1757,0
1758,0
1759,0
1760,0
1761,0
1762,1
1763,0
1764,2
1765,0
1766,1
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,1
1775,0
1776,2
1777,2
1778,0
1779,0
1780,0
1781,1
1782,1
1783,0
1784,0
1785,1
1786,1
1787,0
1788,4
1789,0
1790,1
1791,1
1792,0
1793,0
1794,1
1795,1
1796,0
1797,0
1798,1
1799,1
1800,0
1801,0
1802,1
1803,0
1804,0
1805,1
1806,2
1807,1
1808,0
1809,1
1810,0
1811,1
1812,0
1813,0
1814,0
1815,1
1816,1
1817,0
1818,0
1819,0
1820,0
1821,1
1822,0
1823,0
1824,0
1825,0
1826,1
1827,0
1828,1
1829,0
1830,1
1831,0
1832,0
1833,0
1834,0
1835,1
1836,1
1837,0
1838,4
1839,0
1840,1
1841,0
1842,0
1843,1
1844,1
1845,0
1846,1
1847,1
1848,0
1849,0
1850,1
1851,2
1852,0
1853,0
1854,1
1855,1
1856,1
1857,0
1858,0
1859,0
1860,2
1861,1
1862,1
1863,0
1864,1
1865,3
1866,0
1867,1
1868,0
1869,0
1870,2
1871,1
1872,1
1873,0
1874,0
1875,2
1876,1
1877,5
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,2
1885,0
1886,0
1887,0
1888,0
1889,7
1890,2
1891,4
1892,0
1893,2
1894,0
1895,1
1896,1
1897,0
1898,1
1899,0
1900,3
1901,0
1902,0
1903,0
1904,0
1905,0
1906,1
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,2
1917,0
1918,0
1919,1
1920,1
1921,0
1922,0
1923,0
1924,1
1925,0
1926,3
1927,0
1928,0
1929,0
1930,1
1931,0
1932,1
1933,2
1934,0
1935,0
1936,1
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,1
1947,2
1948,1
1949,5
1950,0
1951,1
1952,0
1953,0
1954,1
1955,0
1956,1
1957,0
1958,0
1959,1
1960,1
1961,1
1962,0
1963,1
1964,0
1965,0
1966,1
1967,0
1968,1
1969,5
1970,1
1971,1
1972,3
1973,1
1974,0
1975,0
1976,0
1977,0
1978,2
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,1
1990,0
1991,0
1992,0
1993,1
1994,0
1995,0
1996,0
1997,0
1998,1
1999,0
2000,1
2001,0
2002,0
2003,0
2004,3
2005,0
2006,1
2007,0
2008,0
2009,0
2010,0
2011,0
2012,1
2013,0
2014,0
2015,0
2016,0
2017,1
2018,0
2019,2
2020,1
2021,0
2022,0
2023,0
2024,0
2025,1
2026,0
2027,0
2028,0
2029,0
2030,0
2031,1
2032,0
2033,2
2034,2
2035,1
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,1
2043,2
2044,1
2045,1
2046,0
2047,1
2048,0
2049,0
2050,0
2051,0
2052,2
2053,0
2054,2
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,1
2064,1
2065,1
2066,1
2067,0
2068,0
2069,0
2070,1
2071,0
2072,1
2073,0
2074,2
2075,0
2076,5
2077,0
2078,1
2079,0
2080,1
2081,0
2082,0
2083,0
2084,1
2085,2
2086,0
2087,1
2088,0
2089,0
2090,0
2091,0
2092,0
2093,1
2094,1
2095,0
2096,0
2097,0
2098,0
2099,1
2100,0
2101,2
2102,0
2103,1
2104,1
2105,2
2106,0
2107,1
2108,1
2109,0
2110,0
2111,0
2112,0
2113,1
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,1
2122,1
2123,2
2124,0
2125,0
2126,0
2127,0
2128,0
2129,3
2130,0
2131,0
2132,4
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,1
2140,0
2141,0
2142,0
2143,1
2144,2
2145,0
2146,0
2147,0
2148,0
2149,1
2150,0
2151,0
2152,0
2153,1
2154,1
2155,0
2156,0
2157,0
2158,0
2159,1
2160,0
2161,0
2162,1
2163,1
2164,0
2165,0
2166,3
2167,0
2168,1
2169,2
2170,0
2171,0
2172,0
2173,0
2174,1
2175,0
2176,0
2177,0
2178,2
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,1
2188,0
2189,0
2190,0
2191,1
2192,0
2193,0
2194,3
2195,0
2196,0
2197,0
2198,0
2199,2
2200,2
2201,0
2202,0
2203,1
2204,1
2205,0
2206,1
2207,0
2208,1
2209,0
2210,0
2211,0
2212,0
2213,4
2214,0
2215,0
2216,1
2217,0
2218,0
2219,0
2220,2
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,3
2232,0
2233,2
2234,0
2235,0
2236,1
2237,1
2238,1
2239,2
2240,0
2241,3
2242,1
2243,2
2244,1
2245,1
2246,1
2247,1
2248,3
2249,1
2250,2
2251,1
2252,0
2253,1
2254,0
2255,2
2256,2
2257,0
2258,0
2259,1
2260,3
2261,0
2262,2
2263,2
2264,0
2265,0
2266,0
2267,0
2268,1
2269,0
2270,0
2271,0
2272,4
2273,0
2274,1
2275,0
2276,1
2277,1
2278,0
2279,0
2280,1
2281,1
2282,0
2283,0
2284,0
2285,1
2286,3
2287,0
2288,2
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,2
2299,0
2300,2
2301,0
2302,0
2303,0
2304,0
2305,1
2306,0
2307,2
2308,0
2309,0
2310,2
2311,0
2312,0
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2319,1
2320,1
2321,0
2322,1
2323,0
2324,0
2325,0
2326,0
2327,0
2328,3
2329,0
2330,0
2331,0
2332,1
2333,0
2334,0
2335,0
2336,1
2337,0
2338,0
2339,1
2340,1
2341,0
2342,0
2343,0
2344,0
2345,1
2346,2
2347,1
2348,1
2349,1
2350,0
2351,0
2352,0
2353,2
2354,1
2355,0
2356,0
2357,0
2358,1
2359,0
2360,0
2361,3
2362,1
2363,1
2364,0
2365,2
2366,0
2367,1
2368,0
2369,4
2370,1
2371,0
2372,0
2373,0
2374,2
2375,2
2376,2
2377,0
2378,1
2379,0
2380,0
2381,0
2382,0
2383,0
2384,0
2385,0
2386,0
2387,0
2388,0
2389,1
2390,0
2391,1
2392,1
2393,1
2394,0
2395,1
2396,0
2397,0
2398,2
2399,1
2400,0
2401,0
2402,0
2403,0
2404,0
2405,0
2406,0
2407,0
2408,0
2409,0
2410,3
2411,0
2412,2
2413,1
2414,0
2415,1
2416,0
2417,1
2418,2
2419,1
2420,0
2421,2
2422,2
2423,0
2424,0
2425,4
2426,0
2427,1
2428,3
2429,1
2430,3
2431,1
2432,2
2433,3
2434,1
2435,2
2436,0
2437,0
2438,0
2439,0
2440,0
2441,1
2442,2
2443,1
2444,2
2445,0
2446,2
2447,0
2448,0
2449,0
2450,1
2451,0
2452,1
2453,0
2454,1
2455,0
2456,0
2457,2
2458,0
2459,0
2460,1
2461,0
2462,1
2463,1
2464,0
2465,0
2466,0
2467,2
2468,0
2469,2
2470,1
2471,2
2472,1
2473,3
2474,0
2475,1
2476,0
2477,0
2478,3
2479,1
2480,0
2481,2
2482,1
2483,0
2484,0
2485,0
2486,2
2487,2
2488,1
2489,0
2490,1
2491,1
2492,0
2493,2
2494,0
2495,1
2496,0
2497,0
2498,2
2499,0
2500,0
2501,0
2502,0
2503,0
2504,0
2505,1
2506,1
2507,1
2508,0
2509,1
2510,0
2511,2
2512,0
2513,0
2514,0
2515,0
2516,3
2517,1
2518,3
2519,1
2520,1
2521,0
2522,0
2523,0
2524,0
2525,0
2526,3
2527,0
2528,1
2529,1
2530,0
2531,1
2532,0
2533,0
2534,0
2535,1
2536,2
2537,0
2538,2
2539,1
2540,0
2541,0
2542,0
2543,2
2544,0
2545,2
2546,0
2547,0
2548,0
2549,1
2550,0
2551,1
2552,0
2553,0
2554,0
2555,0
2556,0
2557,0
2558,2
2559,0
2560,0
2561,1
2562,0
2563,0
2564,0
2565,0
2566,1
2567,0
2568,1
2569,2
2570,2
2571,1
2572,0
2573,2
2574,1
2575,0
2576,0
2577,0
2578,0
2579,1
2580,0
2581,1
2582,0
2583,0
2584,0
2585,0
2586,0
2587,0
2588,0
2589,0
2590,0
2591,0
2592,0
2593,0
2594,0
2595,0
2596,0
2597,0
2598,0
2599,0
2600,0
2601,0
2602,0
2603,0
2604,0
2605,0
2606,0
2607,0
2608,2
2609,0
2610,0
2611,0
2612,0
2613,0
2614,0
2615,2
2616,0
2617,0
2618,1
2619,2
2620,0
2621,1
2622,0
2623,0
2624,1
2625,0
2626,0
2627,1
2628,0
2629,1
2630,0
2631,0
2632,1
2633,1
2634,0
2635,0
2636,0
2637,1
2638,1
2639,0
2640,1
2641,1
2642,0
2643,0
2644,0
2645,0
2646,2
2647,0
2648,0
2649,2
2650,3
2651,2
2652,2
2653,0
2654,0
2655,0
2656,1
2657,0
2658,1
2659,0
2660,2
2661,1
2662,0
2663,0
2664,0
2665,0
2666,0
2667,0
2668,0
2669,0
2670,0
2671,1
2672,1
2673,1
2674,3
2675,1
2676,0
2677,0
2678,0
2679,1
2680,0
2681,0
2682,0
2683,0
2684,1
2685,0
2686,0
2687,2
2688,1
2689,1
2690,1
2691,1
2692,3
2693,0
2694,0
2695,1
2696,1
2697,3
2698,1
2699,1
2700,0
2701,1
2702,0
2703,0
2704,1
2705,1
2706,0
2707,2
2708,3
2709,1
2710,1
2711,0
2712,1
2713,0
2714,0
2715,0
2716,0
2717,0
2718,0
2719,0
2720,0
2721,1
2722,0
2723,0
2724,0
2725,0
2726,0
2727,0
2728,0
2729,1
2730,0
2731,0
2732,0
2733,0
2734,0
2735,0
2736,0
2737,0
2738,0
2739,0
2740,2
2741,1
2742,0
2743,0
2744,1
2745,1
2746,0
2747,0
2748,4
2749,0
2750,0
2751,2
2752,4
2753,0
2754,0
2755,0
2756,1
2757,1
2758,0
2759,0
2760,0
2761,0
2762,0
2763,1
2764,0
2765,3
2766,2
2767,1
2768,0
2769,2
2770,0
2771,0
2772,0
2773,0
2774,1
2775,0
2776,0
2777,1
2778,1
2779,0
2780,0
2781,1
2782,0
2783,0
2784,0
2785,2
2786,1
2787,0
2788,0
2789,4
2790,0
2791,0
2792,0
2793,0
2794,1
2795,0
2796,0
2797,0
2798,0
2799,0
2800,1
2801,1
2802,0
2803,0
2804,0
2805,0
2806,0
2807,0
2808,1
2809,0
2810,1
2811,1
2812,0
2813,0
2814,2
2815,1
2816,0
2817,0
2818,0
2819,1
2820,0
2821,0
2822,1
2823,1
2824,2
2825,0
2826,0
2827,2
2828,0
2829,0
2830,0
2831,0
2832,0
2833,0
2834,0
2835,1
2836,0
2837,2
2838,0
2839,0
2840,0
2841,1
2842,0
2843,0
2844,0
2845,0
2846,0
2847,0
2848,0
2849,0
2850,0
2851,0
2852,0
2853,0
2854,0
2855,0
2856,0
2857,1
2858,1
2859,0
2860,1
2861,2
2862,1
2863,0
2864,2
2865,1
2866,1
2867,1
2868,0
2869,1
2870,1
2871,1
2872,0
2873,1
2874,2
2875,1
2876,0
2877,2
2878,0
2879,1
2880,2
2881,1
2882,1
2883,0
2884,0
2885,0
2886,0
2887,0
2888,1
2889,0
2890,0
2891,0
2892,2
2893,1
2894,0
2895,0
2896,2
2897,0
2898,1
2899,2
2900,0
2901,0
2902,1
2903,0
2904,0
2905,0
2906,1
2907,0
2908,2
2909,0
2910,0
2911,0
2912,0
2913,0
2914,0
2915,0
2916,0
2917,0
2918,0
2919,0
2920,0
2921,0
2922,0
2923,0
2924,0
2925,0
2926,0
2927,2
2928,0
2929,1
2930,0
2931,0
2932,1
2933,0
2934,0
2935,0
2936,1
2937,2
2938,0
2939,0
2940,2
2941,0
2942,2
2943,0
2944,1
2945,1
2946,0
2947,0
2948,2
2949,0
2950,0
2951,0
2952,0
2953,1
2954,0
2955,1
2956,0
2957,2
2958,1
2959,1
2960,0
2961,0
2962,1
2963,2
2964,0
2965,1
2966,0
2967,0
2968,0
2969,0
2970,0
2971,1
2972,3
2973,1
2974,0
2975,3
2976,2
2977,2
2978,0
2979,3
2980,0
2981,3
2982,0
2983,0
2984,1
2985,0
2986,1
2987,0
2988,1
2989,0
2990,1
2991,0
2992,0
2993,1
2994,0
2995,0
2996,0
